MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
2487321000000116,9t21,9t21.00,White: other British - Scotland ethnic category 2011 census,977931000000106,2487321000000116,22
2487361000000112,9t22,9t22.00,White: Irish - Scotland ethnic category 2011 census,977951000000104,2487361000000112,22
2487481000000113,9t24,9t24.00,White: Polish - Scotland ethnic category 2011 census,978011000000101,2487481000000113,22
2645811000000115,9TC,,Roma ethnic group,718958002,2678971000000113,22
4740241000006117,^ESCTBR474024,,British ethnic minority specified (NMO),186006000,2668697019,22
4740261000006118,^ESCTBR474026,,British ethnic minority unspecified (NMO),186007009,2668698012,22
4740341000006112,^ESCTOT474034,,"Other ethnic, Black/White origin",186020007,2763938013,22
4740361000006111,^ESCTOT474036,,"Other ethnic, Asian/White origin",186021006,2764123018,22
4740381000006118,^ESCTOT474038,,"Other ethnic, mixed white origin",186022004,2668812012,22
4740401000006118,^ESCTOT474040,,"Other ethnic, other mixed origin",186023009,2668813019,22
4740421000006111,^ESCTET474042,,Ethnicity / related nationality data,186034007,286004017,17
6260901000006118,^ESCTET626090,,Ethnic group,364699009,487864014,31
6270381000006117,^ESCTET627038,,Ethnic groups (1991 census) (UK),365455004,2670706014,22
6270391000006119,^ESCTET627039,,Ethnic groups (1991 census) (United Kingdom),365455004,2982933016,22
6270401000006117,^ESCTET627040,,Ethnicity / related nationality data - finding,365456003,488665010,31
6591901000006115,^ESCTET659190,,Ethnicity,397731000,1785938019,17
6597601000006118,^ESCTET659760,,Ethnic background,398089004,1777653018,31
8224821000006111,^ESCTET822482,,Ethnicity,723621000000103,1582261000000111,31
8406531000006110,^ESCTET840653,,Ethnicity not stated,1024701000000100,2587011000000118,17
12009371000006110,^ESCT1200937,,Patient declined to provide information about ethnic group,763726001,3644134011,17
12485181000006118,^ESCT1248518,,Ethnic group not given - patient refused,312860002,456651012,31
14460751000006114,^ESCT1446075,,Benign ethnic neutropenia,1156300000,4573456013,31
250243013,134K,134K.00,Race: West indian,160531006,250243013,22
2537217015,134N,134N.00,Race: White,413773004,2537217015,22
196631000006117,134I,134I.00,RACE: Bangladeshi,186003008,285956019,22
196651000006112,134D,134D.00,RACE: Chinese,33897005,56590016,22
196721000006111,134M,134M.00,RACE: Pakistani,186002003,285955015,22
